samples,type,1007_s_at,1053_at,117_at,121_at,1255_g_at
834,ependymoma,12.49814981,7.60486786,6.880933526,9.027127746,4.176175449
835,ependymoma,13.06743563,7.998089885,7.209075859,9.723321752,4.826125913
836,ependymoma,13.06817894,8.573673958,8.64768433,9.613001858,4.396580729
837,ependymoma,12.45604016,9.098977459,6.62878421,8.517677211,4.154847395
838,ependymoma,12.69995788,8.800721319,11.55618807,9.166309434,4.165890892
839,ependymoma,12.46108904,7.676461529,7.244519158,9.676866534,3.904301129
840,ependymoma,13.6556385,7.980902844,7.566619642,10.10290723,4.65935263
841,ependymoma,12.60137031,8.873161191,9.21430966,9.69033368,4.341822031
842,ependymoma,12.46322947,8.206493881,8.891218037,9.737344159,3.936264532
843,ependymoma,12.26571264,7.879856728,10.21069364,9.700962916,4.087726072
844,ependymoma,12.92102521,8.620506582,7.238575362,8.245387523,3.682762106
845,ependymoma,12.78654996,7.570789694,7.518997608,9.297585831,4.040875776
846,ependymoma,12.54533362,8.413481968,7.250554018,10.100683,4.296261624
847,ependymoma,12.58751806,9.38134827,7.164577397,8.545738581,6.178487978
848,ependymoma,13.23495286,8.791182939,7.396933845,9.620106691,4.042271612
849,ependymoma,12.69891181,9.160193958,12.05414305,8.890989611,4.243280546
850,ependymoma,13.52951817,7.621083042,7.893538888,10.176362,4.359292401
851,ependymoma,13.26824808,8.116195428,8.31989384,9.710242281,4.093761425
852,ependymoma,12.88426583,8.980535313,8.262887597,8.679982805,4.226454369
853,ependymoma,13.14187226,8.672799535,7.120124361,9.530811221,4.267053
854,ependymoma,13.12622671,8.77688392,8.904739845,9.725092632,4.450044816
855,ependymoma,12.87770934,9.236404489,7.590314509,9.691882061,4.254426168
856,ependymoma,13.30533823,8.515335992,8.12963403,8.961500361,4.384275067
857,ependymoma,13.01007343,9.051995303,8.105813637,8.888199746,4.038446225
858,ependymoma,12.88581764,8.678978002,7.590986714,9.967565324,4.274786122
859,ependymoma,12.68075446,8.311863043,7.571993072,9.741333593,4.345052702
860,ependymoma,12.96514673,8.43801049,7.058538646,9.401396107,4.307016914
861,ependymoma,12.95582248,7.802382286,7.21137623,9.761767051,4.157488566
862,ependymoma,12.90767906,8.877593102,8.559765013,9.34050635,4.187450406
863,ependymoma,12.36982769,8.863015427,6.623090957,8.319927335,4.084848532
864,ependymoma,12.52923841,9.193308926,7.524350411,9.038362646,4.070200356
865,ependymoma,12.93000099,8.035091814,6.820865001,9.533886869,4.319411588
866,ependymoma,12.1625471,7.723421,7.344731918,9.392600501,4.206012424
867,ependymoma,12.32099759,9.164358871,7.652406928,9.418957833,4.324592406
868,ependymoma,12.89403315,8.310944034,8.252726994,9.93078999,4.535208495
869,ependymoma,12.50688658,8.855622964,8.773572599,8.57472682,4.131699987
870,ependymoma,11.94630338,8.85307451,7.583233001,8.694280313,4.067044178
871,ependymoma,12.47751607,8.912471671,8.828791548,9.004218422,5.453474796
872,ependymoma,12.69405921,8.733028229,7.778879293,8.336712023,4.068401145
873,ependymoma,12.41618818,9.079116174,8.335809989,8.801703431,3.853588935
874,ependymoma,12.7758598,9.266837742,6.966860174,8.499160335,5.27906925
875,ependymoma,12.25728193,8.549418678,9.176254783,8.703904664,5.017208009
876,ependymoma,12.70864039,9.544860682,7.02048605,8.371521841,6.756559921
877,ependymoma,13.03961287,8.821315188,7.33472136,8.485802944,5.1728244
878,ependymoma,12.64576362,8.406187692,7.321293597,8.133787408,4.253772357
879,ependymoma,12.6433469,8.408932728,7.893074578,8.082575451,4.091166771
880,glioblastoma,11.36747157,9.323879383,8.2697531,9.632962433,5.534698077
881,glioblastoma,12.11183651,9.909101486,8.590495228,9.590658981,4.558297986
882,glioblastoma,12.68622866,9.432470487,7.565431033,8.513027998,4.460844087
883,glioblastoma,12.95672765,8.603778108,8.311466786,8.205823311,4.256073069
884,glioblastoma,12.13290015,9.142464478,9.628996505,8.700960581,4.475802887
885,glioblastoma,12.1803215,8.993026686,8.008274451,9.49395329,4.454339605
886,glioblastoma,13.0837628,8.353603296,7.388187214,10.21217363,4.373561474
887,glioblastoma,12.51533232,9.721590123,8.692688137,9.983381232,4.586205382
888,glioblastoma,12.78854246,9.219515996,7.936230584,9.752877123,4.501881317
889,glioblastoma,12.53020676,9.684073642,7.86471386,9.929679859,4.418546249
890,glioblastoma,13.05999924,8.472827867,6.934351459,9.787359155,6.79554611
891,glioblastoma,12.42215473,8.175978944,7.239501073,9.39148723,4.192816813
892,glioblastoma,12.24965585,8.953046911,9.870902753,9.514205016,7.035350733
893,glioblastoma,12.6117795,8.817077927,9.369149724,9.729032027,4.498095121
894,glioblastoma,12.11099785,9.264432233,8.357962976,9.456464205,4.623586859
895,glioblastoma,12.6800197,10.71600322,8.728957509,9.130329281,4.160671743
896,glioblastoma,11.66494206,10.26377556,7.985940497,8.610077658,4.846841815
897,glioblastoma,11.47724424,9.58360098,7.879161978,8.544396543,4.151456081
898,glioblastoma,12.28388617,10.13931965,6.981644999,8.305225417,4.311626902
899,glioblastoma,11.88056564,9.730657583,7.342258521,8.682457968,5.684685492
900,glioblastoma,12.4618183,8.295223684,7.003408295,9.795837764,4.645302217
901,glioblastoma,12.86800128,8.306546109,8.592514597,9.546182212,4.469762521
902,glioblastoma,11.92587744,8.737270731,6.988385967,9.925028965,5.26953285
903,glioblastoma,13.29124549,8.986772724,8.233970947,10.03152135,6.021911278
904,glioblastoma,12.38153642,9.28254465,9.671043122,8.224457464,6.017183893
905,glioblastoma,12.88069942,9.944838888,7.102629385,9.342049739,4.375763757
906,glioblastoma,12.90130698,9.445340041,8.035069785,9.443234874,4.727392272
907,glioblastoma,12.54613366,9.861115242,9.106177558,8.473286467,6.915659286
908,glioblastoma,11.63262981,8.353688946,6.988857001,8.40976299,5.523430273
909,glioblastoma,12.45702147,9.666016496,8.23844554,8.45519354,4.652027893
910,glioblastoma,11.78521098,8.956134068,9.15742626,8.985908972,4.024343577
911,glioblastoma,12.65479678,9.250090801,11.03174405,8.795851694,4.464612999
912,glioblastoma,12.76599717,9.581127377,8.322196957,9.222664751,4.006616612
913,glioblastoma,12.82618218,9.297371916,7.573338041,9.709541551,4.620765734
914,medulloblastoma,10.15620733,9.69380906,7.574538504,8.098709229,5.732021891
915,medulloblastoma,11.22874892,9.210523105,7.079879169,9.799283004,6.309971877
916,medulloblastoma,10.80122879,9.321448701,7.145501484,9.881426885,4.656692861
917,medulloblastoma,11.0351166,8.533093868,7.362592364,9.903646258,4.15554586
918,medulloblastoma,11.56151677,8.477245713,7.284677009,10.08244817,4.280371755
919,medulloblastoma,11.3354609,9.211290062,6.222514989,8.289106552,4.505268625
920,medulloblastoma,11.40119352,8.523019335,7.103413286,9.930036472,5.778261257
921,medulloblastoma,11.42585974,8.784927654,7.586814484,9.845308681,4.540908348
922,medulloblastoma,11.26909786,8.427712545,6.685038085,9.330548666,4.277179323
923,medulloblastoma,11.04525386,10.21550809,6.518639475,8.240241066,4.210135435
924,medulloblastoma,12.10600913,8.698490498,7.220652008,9.652842618,4.183945631
925,medulloblastoma,10.92315186,8.98239884,7.526849226,9.281602691,4.265566421
926,medulloblastoma,10.66018113,8.946969868,6.223561122,8.044420652,4.092956331
927,medulloblastoma,11.84742814,8.575681962,6.833852018,8.390150947,4.006163926
928,medulloblastoma,11.1669394,9.050481921,6.326124733,8.063916659,4.501065487
929,medulloblastoma,11.18647571,8.75271556,6.241699537,8.837207292,4.299204931
930,medulloblastoma,10.48617645,9.645484548,6.659690647,8.686050415,4.555600264
931,medulloblastoma,10.37532425,9.899419045,6.396487253,8.32198672,4.685950669
932,medulloblastoma,10.8091038,9.734295641,7.358061475,8.493830117,4.442022206
933,medulloblastoma,11.72405957,9.379595994,6.516140254,8.590647346,4.373072957
934,medulloblastoma,11.19517068,9.461133777,6.743265566,8.417198324,4.395734784
935,medulloblastoma,12.37256114,8.585549464,8.136459497,8.820978282,3.896294642
936,normal,11.05835431,7.938872738,6.606813339,8.665940315,4.308291044
937,normal,10.89107654,8.196186233,6.882572151,9.763853678,6.689534638
938,normal,12.42831161,7.860278388,7.077832543,8.938877453,6.967023888
939,normal,11.60726373,7.082854893,7.394745694,9.491669085,7.109989258
940,normal,11.04664125,8.458561388,6.42505886,8.770477579,6.532255019
941,normal,10.70181672,8.467376507,6.946707564,8.815156362,6.970623213
942,normal,10.78385394,8.369617032,6.45294427,8.783143655,7.404503152
943,normal,12.53642149,6.627878349,6.974907228,9.75469201,5.434262272
944,normal,11.29989283,8.286180002,6.993723112,8.770719757,4.026219992
945,normal,11.16259535,8.096054097,9.951813321,9.102313742,6.123117923
946,normal,11.13525138,8.511165943,6.638217631,8.880642145,5.112464412
947,normal,10.89173824,8.5752598,6.851847557,8.883110657,5.905900681
948,normal,11.4753067,8.032886559,6.756641531,9.238885127,6.043439095
949,pilocytic_astrocytoma,13.10124075,8.519126542,6.898270357,9.465021678,6.415503649
950,pilocytic_astrocytoma,13.38057007,7.186359636,7.306095621,10.00712701,5.507749904
951,pilocytic_astrocytoma,13.04765458,8.34581934,7.625373439,10.28556165,4.559898417
952,pilocytic_astrocytoma,12.95628198,8.049274672,7.897166119,10.40713631,4.738906831
953,pilocytic_astrocytoma,12.45164075,7.688263492,7.111787945,9.647268817,4.670942728
954,pilocytic_astrocytoma,13.22083891,8.439884383,7.203701232,9.577873082,4.712346206
955,pilocytic_astrocytoma,13.06536268,8.555782873,7.438600088,9.777299372,4.797744235
956,pilocytic_astrocytoma,13.01700934,8.872884515,7.565442042,8.491957109,6.443307403
957,pilocytic_astrocytoma,13.03605476,8.787555476,7.778189993,9.017056898,7.260108934
958,pilocytic_astrocytoma,13.22257569,8.803785908,6.973699649,9.603310278,6.92840623
959,pilocytic_astrocytoma,12.65822833,8.843269645,7.672655079,9.125911937,5.495476679
960,pilocytic_astrocytoma,12.8128225,8.510550282,8.729699158,9.104402447,3.967228365
961,pilocytic_astrocytoma,12.70699132,8.79572065,7.772359456,8.327272883,6.329382804
962,pilocytic_astrocytoma,12.68459256,8.293937675,7.228185943,8.494427778,6.049413527
963,pilocytic_astrocytoma,12.39772163,8.843524055,8.825099877,8.55154116,5.002072112
